,ki,kd,time
"(0.4, 0.4)",0.4,0.4,15.038735628128052
"(0.4, 0.5)",0.4,0.5,15.115771293640137
"(0.4, 0.6000000000000001)",0.4,0.6000000000000001,15.035419940948486
"(0.4, 0.7000000000000001)",0.4,0.7000000000000001,15.080173969268799
"(0.4, 0.8)",0.4,0.8,15.066774129867554
"(0.4, 0.9)",0.4,0.9,15.071588516235352
"(0.41000000000000003, 0.0)",0.41000000000000003,0.0,15.070443391799927
"(0.41000000000000003, 0.1)",0.41000000000000003,0.1,4.817367792129517
"(0.41000000000000003, 0.2)",0.41000000000000003,0.2,15.02543830871582
"(0.41000000000000003, 0.30000000000000004)",0.41000000000000003,0.30000000000000004,15.06260895729065
"(0.41000000000000003, 0.4)",0.41000000000000003,0.4,15.074397087097168
"(0.41000000000000003, 0.5)",0.41000000000000003,0.5,15.05894136428833
"(0.41000000000000003, 0.6000000000000001)",0.41000000000000003,0.6000000000000001,15.024246454238892
"(0.41000000000000003, 0.7000000000000001)",0.41000000000000003,0.7000000000000001,15.034338474273682
"(0.41000000000000003, 0.8)",0.41000000000000003,0.8,15.048147201538086
"(0.41000000000000003, 0.9)",0.41000000000000003,0.9,15.046740770339966
"(0.42, 0.0)",0.42,0.0,15.045939922332764
"(0.42, 0.1)",0.42,0.1,15.08115839958191
"(0.42, 0.2)",0.42,0.2,15.034934282302856
"(0.42, 0.30000000000000004)",0.42,0.30000000000000004,15.052596092224121
"(0.42, 0.4)",0.42,0.4,15.06428575515747
"(0.42, 0.5)",0.42,0.5,15.04705262184143
"(0.42, 0.6000000000000001)",0.42,0.6000000000000001,15.001123666763306
"(0.42, 0.7000000000000001)",0.42,0.7000000000000001,15.000503301620483
"(0.42, 0.8)",0.42,0.8,15.06844711303711
"(0.42, 0.9)",0.42,0.9,15.100265979766846
"(0.43, 0.0)",0.43,0.0,15.05557131767273
"(0.43, 0.1)",0.43,0.1,15.015571594238281
"(0.43, 0.2)",0.43,0.2,15.01313328742981
"(0.43, 0.30000000000000004)",0.43,0.30000000000000004,15.039647817611694
"(0.43, 0.4)",0.43,0.4,15.005290985107422
"(0.43, 0.5)",0.43,0.5,15.01820969581604
"(0.43, 0.6000000000000001)",0.43,0.6000000000000001,15.067463636398315
"(0.43, 0.7000000000000001)",0.43,0.7000000000000001,15.05928921699524
"(0.43, 0.8)",0.43,0.8,15.030098676681519
"(0.43, 0.9)",0.43,0.9,15.057639360427856
"(0.44, 0.0)",0.44,0.0,15.011445999145508
"(0.44, 0.1)",0.44,0.1,15.036100625991821
"(0.44, 0.2)",0.44,0.2,15.008677959442139
